纬度,经度,店名,类型,其他1,其他2,其他3
30.5277419,114.3574186,李友不大盘鸡饭庄,restaurant,,,
30.5273424,114.3571802,双美豆沙牛乳,cafe,,,
30.5278482,114.357482,舌尖大师,restaurant,,,
30.5277089,114.3576806,三十六味牛骨面,restaurant,,,
30.5280527,114.3575994,干拌烤鸭·烤鸡,fast_food,,,
30.5281533,114.3576589,幸运炸鸡,fast_food,,,
30.5281526,114.3580211,老汉口汽水包,fast_food,,,
30.5310101,114.3644759,尊宝比萨,fast_food,,,
30.5313455,114.3629913,澎湖湾农家菜,restaurant,,,
30.5313687,114.3628728,炉边边·山野鲜货火锅,restaurant,,,
30.5313073,114.3631933,楚茗轩,cafe,,,
30.5311185,114.3639058,和善园手工大包,fast_food,,,
30.5311369,114.3638091,鱼香阁,restaurant,,,
30.5309954,114.3645535,东北饺子馆,restaurant,,,
30.5319177,114.3609529,汇都便利店,,convenience,,
30.5311028,114.3649427,彭厨,restaurant,,,
30.5317423,114.3649691,精致中餐厅,restaurant,,,
30.5326301,114.3638483,啡舖,cafe,,,
30.5252268,114.3670956,野草咖啡,cafe,,,
30.5254159,114.3670898,巴东味道别院,restaurant,,,
30.5238749,114.366253,阿力苏新疆大盘鸡,restaurant,,,
30.5226912,114.3652563,雨键便利店,,convenience,,
30.5250121,114.3579135,陈记鳝丝面馆,restaurant,,,
30.527491,114.3543374,兰州拉面,restaurant,,,
30.5362254,114.3805997,慈氏山房,cafe,,,
30.535726,114.3806423,东湖食堂,restaurant,,,
30.5355346,114.3806587,喜客·伴湖私厨,restaurant,,,
30.5335231,114.380242,厚岸茶愈创想餐厅,restaurant,,,
30.5338435,114.3801648,栖沚里·落日观景茶馆,cafe,,,
30.5346534,114.3803827,抱雲轩·湖景庭院茶空间,cafe,,,
30.5349051,114.3803879,小鹿斋·远山湖景茶空间,cafe,,,
30.5353665,114.3805922,山莱养生茶文空间,cafe,,,
30.5211122,114.3874023,惠丰楼餐厅,restaurant,,,
30.521727,114.3875242,中百罗森,,convenience,,
30.5350225,114.384,东乡手抓羊肉,restaurant,,,
30.5352093,114.3838976,西北人家穆斯林餐厅,restaurant,,,
30.5339871,114.386116,东湖旺山花园餐厅,restaurant,,,
30.5339265,114.3848774,阳光大农庄,restaurant,,,
30.5378571,114.3869078,家洲副食,,convenience,,
30.5379512,114.386927,红·东南亚小馆,restaurant,,,
30.523428,114.3878308,邮科院生活超市,,supermarket,,
30.5417823,114.3413664,省科学技术厅,,,,bus_stop
30.5389614,114.3420688,禄重轩餐厅,restaurant,,,
30.5388089,114.3427045,铂颂贸易商行,,convenience,,
30.5376243,114.3470389,金橡果餐厅,restaurant,,,
30.5376638,114.3469553,美宜佳,,convenience,,
30.5363353,114.3497223,中百罗森,,convenience,,
30.5327413,114.3476686,奈雪的茶,cafe,,,
30.5326568,114.3472648,211优选超市,,supermarket,,
30.5328838,114.3478643,好客士便利店,,convenience,,
30.5330293,114.3480643,燚碗牛·轻烤牛肉饭,fast_food,,,
30.5330381,114.3479068,禧悦荟,restaurant,,,
30.5330893,114.3481468,老成都冷锅鱼,restaurant,,,
30.5359523,114.3500651,大米先生,restaurant,,,
30.539883,114.340052,伊知味餐厅,restaurant,,,
